frequence of Passer attribute
    Type Description                     Count                   Percent
           K.Cousins                      2199                      1.31%
             K.Hogan                       109                      0.07%
              K.Kolb                       760                      0.45%
             K.Moore                       108                      0.06%
              K.Null                       121                      0.07%
             K.Orton                      1894                      1.13%
            K.Warner                       535                      0.32%
              L.Bell                         1                      0.00%
             L.Brown                         3                      0.00%
           L.Edwards                         1                      0.00%
        L.Fitzgerald                         3                      0.00%
             L.Jones                       178                      0.11%
            L.McCown                       129                      0.08%
            L.Naanee                         2                      0.00%
            L.Thomas                         9                      0.01%
         L.Tomlinson                         1                      0.00%
        L.Washington                         1                      0.00%
            M.Barber                         1                      0.00%
           M.Barkley                       289                      0.17%
           M.Bradley                         1                      0.00%
           M.Brunell                        48                      0.03%
            M.Bulger                       262                      0.16%
              M.Bush                         1                      0.00%
            M.Cassel                      2213                      1.32%
           M.Clayton                         2                      0.00%
             M.Flynn                       373                      0.22%
             M.Forte                         1                      0.00%
           M.Glennon                       830                      0.50%
              M.Gray                         2                      0.00%
             M.Grice                         1                      0.00%
         M.Gutierrez                         1                      0.00%
             M.Haack                         1                      0.00%
              M.Hall                        79                      0.05%
        M.Hasselbeck                      2068                      1.23%
              M.Hull                         1                      0.00%
             M.James                         1                      0.00%
           M.Jenkins                         1                      0.00%
        M.Jones-Drew                         2                      0.00%
             M.Kafka                        17                      0.01%
            M.Koenen                         2                      0.00%
               M.Lee                         2                      0.00%
           M.Leinart                       129                      0.08%
             M.Lynch                         2                      0.00%
           M.Mariota                      1366                      0.81%
         M.Massaquoi                         1                      0.00%
           M.McBriar                         1                      0.00%
           M.McGloin                       293                      0.17%
             M.Moore                       880                      0.52%
           M.Palardy                         2                      0.00%
            M.Prater                         1                      0.00%
             M.Reece                         1                      0.00%
          M.Robinson                         1                      0.00%
              M.Ryan                      5401                      3.22%
           M.Sanchez                      2393                      1.43%
              M.Sanu                         7                      0.00%
            M.Schaub                      2533                      1.51%
           M.Scifres                         1                      0.00%
             M.Simms                        40                      0.02%
          M.Spurlock                         5                      0.00%
          M.Stafford                      5110                      3.05%
          M.Trubisky                       355                      0.21%
              M.Vick                      1535                      0.92%
           M.Wallace                         1                      0.00%
          M.Williams                         1                      0.00%
           Mat.Moore                         6                      0.00%
          Matt.Moore                        20                      0.01%
             N.Foles                      1473                      0.88%
          N.Peterman                        48                      0.03%
           N.Sudfeld                        25                      0.01%
           O.Beckham                         1                      0.00%
            P.Cooper                         1                      0.00%
           P.Crayton                         1                      0.00%
            P.Dawson                         1                      0.00%
            P.Garcon                         1                      0.00%
            P.Hillis                         3                      0.00%
             P.Lynch                       134                      0.08%
           P.Mahomes                        36                      0.02%
           P.Manning                      3601                      2.15%
            P.McAfee                         2                      0.00%
          P.Peterson                         2                      0.00%
            P.Rivers                      5363                      3.20%
             P.White                         5                      0.00%
            R.Bartel                        53                      0.03%
             R.Brown                         8                      0.00%
              R.Bush                         1                      0.00%
              R.Cobb                         2                      0.00%
             R.Dixon                         1                      0.00%
       R.Fitzpatrick                      3694                      2.20%
            R.Golden                         2                      0.00%
           R.Griffin                      1267                      0.76%
          R.Grossman                       631                      0.38%
              R.Helu                         1                      0.00%
            R.Hodges                         1                      0.00%
           R.Lindell                         1                      0.00%
           R.Lindley                       287                      0.17%
           R.Mallett                       360                      0.21%
              R.Moss                         1                      0.00%
            R.Nassib                        10                      0.01%
           R.Quigley                         2                      0.00%
              R.Rice                         2                      0.00%
             R.Smith                        49                      0.03%
         R.Tannehill                      2758                      1.65%
             R.Wayne                         1                      0.00%
          R.Williams                         1                      0.00%
            R.Wilson                      3004                      1.79%
    RSED. Alex Smith                         1                      0.00%
          RSED. Ryan                         1                      0.00%
          S.Bradford                      3039                      1.81%
          S.Breaston                         2                      0.00%
              S.Hill                       457                      0.27%
            S.Holmes                         1                      0.00%
              S.Koch                         4                      0.00%
           S.Lanning                         1                      0.00%
           S.Lechler                         5                      0.00%
             S.Logan                         1                      0.00%
           S.Mannion                        53                      0.03%
            S.Martin                         2                      0.00%
             S.McGee                        84                      0.05%
           S.Renfree                         8                      0.00%
              S.Rice                         5                      0.00%
       S.Schillinger                         1                      0.00%
           S.Tolzien                       149                      0.09%
            S.Vereen                         1                      0.00%
           S.Wallace                       363                      0.22%
       S.Weatherford                         1                      0.00%
             Sh.Hill                       438                      0.26%
          St. Pierre                        32                      0.02%
            T.Austin                         1                      0.00%
          T.Benjamin                         1                      0.00%
            T.Bouman                        37                      0.02%
            T.Boykin                        19                      0.01%
             T.Brady                      5480                      3.27%
       T.Brandstater                         2                      0.00%
              T.Bray                         1                      0.00%
       T.Bridgewater                       893                      0.53%
             T.Cadet                         1                      0.00%
          T.Castille                         1                      0.00%
             T.Cohen                         3                      0.00%
           T.Collins                        51                      0.03%
           T.Edwards                       301                      0.18%
              T.Ginn                         2                      0.00%
            T.Graham                         1                      0.00%
          T.Heinicke                         1                      0.00%
              T.Hill                         1                      0.00%
            T.Hilton                         2                      0.00%
           T.Jackson                       580                      0.35%
             T.Kelce                         1                      0.00%
             T.Lewis                       194                      0.12%
           T.Masthay                         2                      0.00%
            T.McEvoy                         2                      0.00%
             T.Palko                       143                      0.09%
             T.Pryor                       327                      0.20%
              T.Romo                      3173                      1.89%
            T.Savage                       350                      0.21%
           T.Siemian                       890                      0.53%
             T.Smith                       162                      0.10%
            T.Taylor                      1353                      0.81%
             T.Tebow                       378                      0.23%
           T.Thigpen                        86                      0.05%
               T.Way                         1                      0.00%
             T.Yates                       341                      0.20%
             V.Young                       551                      0.33%
             W.Snead                         1                      0.00%
      Z.Mettenberger                       356                      0.21%
      ards. Backward                         1                      0.00%
           haun.Hill                         7                      0.00%
          iver. Ryan                         1                      0.00%
