frequence of Season attribute
    Type Description                     Count                   Percent
                2009                     44596                     10.94%
                2010                     44751                     10.98%
                2011                     45070                     11.06%
                2012                     45415                     11.14%
                2013                     45248                     11.10%
                2014                     45502                     11.16%
                2015                     46129                     11.31%
                2016                     45736                     11.22%
                2017                     45241                     11.10%
