frequence of Interceptor attribute
    Type Description                     Count                   Percent
             C.Pryor                         2                      0.04%
           C.Redding                         3                      0.07%
              C.Reis                         1                      0.02%
             C.Riley                         1                      0.02%
         C.Robertson                         9                      0.20%
            C.Rogers                        11                      0.24%
        C.Sensabaugh                         3                      0.07%
           C.Session                         2                      0.04%
          C.Spillman                         1                      0.02%
            C.Thomas                         1                      0.02%
           C.Tillman                        20                      0.44%
            C.Vaughn                         7                      0.15%
              C.Wake                         1                      0.02%
           C.Webster                        17                      0.38%
             C.White                         6                      0.13%
          C.Williams                        10                      0.22%
           C.Woodson                        31                      0.69%
            Co.Davis                         1                      0.02%
           D.Amerson                         8                      0.18%
            D.Barber                         1                      0.02%
              D.Bass                         2                      0.04%
            D.Bishop                         1                      0.02%
               D.Bly                         3                      0.07%
            D.Bowens                         3                      0.07%
            D.Breaux                         3                      0.07%
            D.Bruton                         4                      0.09%
          D.Bucannon                         3                      0.07%
            D.Butler                        20                      0.44%
          D.Campbell                         1                      0.02%
             D.Carey                         3                      0.07%
              D.Cole                         2                      0.04%
           D.Coleman                         3                      0.07%
               D.Cox                        13                      0.29%
             D.Davis                         1                      0.02%
           D.Dennard                         3                      0.07%
           D.Dockett                         1                      0.02%
            D.Easley                         1                      0.02%
           D.Edwards                         2                      0.04%
           D.Ellerbe                         3                      0.07%
           D.Everett                         1                      0.02%
          D.Fletcher                         1                      0.02%
          D.Florence                        10                      0.22%
          D.Foxworth                         4                      0.09%
            D.Franks                         3                      0.07%
           D.Goldson                        16                      0.35%
             D.Gomes                         1                      0.02%
            D.Gorrer                         2                      0.04%
             D.Grant                         7                      0.15%
             D.Gratz                         3                      0.07%
              D.Hall                        23                      0.51%
            D.Harmon                        11                      0.24%
            D.Harris                         8                      0.18%
          D.Harrison                         1                      0.02%
         D.Hawthorne                         8                      0.18%
            D.Hayden                         4                      0.09%
             D.House                         8                      0.18%
             D.Hurst                         2                      0.04%
           D.Jackson                         6                      0.13%
           D.Johnson                        13                      0.29%
             D.Jones                        10                      0.22%
           D.Kennard                         1                      0.02%
           D.Kindred                         1                      0.02%
              D.King                         1                      0.02%
       D.Kirkpatrick                        10                      0.22%
            D.Landry                         9                      0.20%
          D.Lansanah                         3                      0.07%
              D.Levy                        12                      0.27%
            D.Lowery                        16                      0.35%
           D.Manning                         6                      0.13%
            D.Martin                         1                      0.02%
            D.McBath                         2                      0.04%
            D.McCoil                         1                      0.02%
          D.McCourty                        25                      0.55%
            D.McCray                         2                      0.04%
          D.Milliner                         3                      0.07%
             D.Moore                        10                      0.22%
            D.Morris                         2                      0.04%
             D.Mount                         1                      0.02%
           D.Olatoye                         1                      0.02%
         D.Patterson                         8                      0.18%
          D.Perryman                         1                      0.02%
           D.Randall                        10                      0.22%
             D.Revis                        21                      0.46%
           D.Roberts                         1                      0.02%
          D.Robinson                         4                      0.09%
 D.Rodgers-Cromartie                        25                      0.55%
