frequence of Interceptor attribute
    Type Description                     Count                   Percent
         T.Jefferson                         6                      0.13%
          T.Jennings                        20                      0.44%
          T.Jernigan                         1                      0.02%
       T.Jerod-Eddie                         1                      0.02%
           T.Johnson                        21                      0.46%
            T.Keiser                         2                      0.04%
             T.Kelly                         1                      0.02%
          T.Knighton                         2                      0.04%
               T.Law                         1                      0.02%
              T.Laws                         1                      0.02%
           T.Lindley                         1                      0.02%
           T.Lippett                         4                      0.09%
           T.Mathieu                        11                      0.24%
           T.McBride                         5                      0.11%
          T.McDonald                         6                      0.13%
             T.McGee                         1                      0.02%
          T.Mitchell                         5                      0.11%
            T.Nelson                         1                      0.02%
            T.Newman                        24                      0.53%
             T.Nolan                         3                      0.07%
            T.Patmon                         1                      0.02%
          T.Polamalu                        15                      0.33%
            T.Porter                        13                      0.29%
              T.Reed                         2                      0.04%
          T.Robinson                         2                      0.04%
         T.Scheffler                         1                      0.02%
             T.Simon                         1                      0.02%
             T.Smith                        10                      0.22%
            T.Spikes                         4                      0.09%
             T.Suggs                         2                      0.04%
            T.Thomas                        11                      0.24%
              T.Ward                         9                      0.20%
              T.Watt                         1                      0.02%
            T.Waynes                         6                      0.13%
             T.White                         5                      0.11%
         T.Whitehead                         4                      0.09%
          T.Williams                        31                      0.69%
            T.Wilson                         8                      0.18%
             T.Young                         2                      0.04%
         T.Zbikowski                         4                      0.09%
         Tom.Johnson                         1                      0.02%
         Tr.Williams                         2                      0.04%
              U.Unga                         2                      0.04%
             U.Young                         6                      0.13%
           V.Beasley                         1                      0.02%
           V.Burfict                         5                      0.11%
             V.Davis                        24                      0.53%
            V.Fuller                         5                      0.11%
        V.Hargreaves                         1                      0.02%
            V.Miller                         2                      0.04%
               V.Rey                         5                      0.11%
           V.Wilfork                         3                      0.07%
          V.Williams                         1                      0.02%
            W.Aikens                         1                      0.02%
             W.Allen                         5                      0.11%
          W.Blackmon                         5                      0.11%
           W.Compton                         3                      0.07%
             W.Davis                         1                      0.02%
               W.Gay                        13                      0.29%
          W.Gholston                         1                      0.02%
             W.Hayes                         1                      0.02%
           W.Herring                         3                      0.07%
              W.Hill                         4                      0.09%
           W.Jackson                         1                      0.02%
             W.James                         2                      0.04%
         W.Middleton                         3                      0.07%
             W.Moore                        16                      0.35%
             W.Parks                         2                      0.04%
             W.Smith                         2                      0.04%
          W.Thurmond                         4                      0.09%
       W.Witherspoon                         6                      0.13%
          W.Woodyard                         8                      0.18%
             W.Young                         1                      0.02%
            X.Howard                         4                      0.09%
            X.Rhodes                         9                      0.20%
             X.Woods                         1                      0.02%
              Y.Bell                         7                      0.15%
           Y.Ngakoue                         1                      0.02%
            Z.Bowman                        12                      0.27%
             Z.Brown                         7                      0.15%
              Z.Kerr                         1                      0.02%
               Z.Orr                         3                      0.07%
