frequence of Unit attribute
    Type Description                     Count                   Percent
                 224                         4                      0.01%
                 225                         1                      0.00%
                 226                         1                      0.00%
                 227                         2                      0.01%
                 228                         2                      0.01%
                 229                         1                      0.00%
                  23                        23                      0.08%
                2300                         4                      0.01%
                2301                         4                      0.01%
                2303                         1                      0.00%
                2317                         1                      0.00%
                 234                         1                      0.00%
                 235                         2                      0.01%
                 236                         3                      0.01%
                 237                         4                      0.01%
                 239                         2                      0.01%
                  24                        15                      0.05%
                2400                         1                      0.00%
                2401                         4                      0.01%
                2402                         3                      0.01%
                2404                         4                      0.01%
                 241                         2                      0.01%
                 247                         2                      0.01%
                  25                        24                      0.08%
                 250                         3                      0.01%
                2501                         2                      0.01%
                2502                         2                      0.01%
                2526                         1                      0.00%
                 253                         1                      0.00%
                2534                         1                      0.00%
                 257                         1                      0.00%
                  26                        14                      0.05%
                2601                         2                      0.01%
                2604                         3                      0.01%
                 261                         1                      0.00%
                2650                         2                      0.01%
                  27                        30                      0.10%
                2700                         1                      0.00%
                2704                         5                      0.02%
                2725                         2                      0.01%
                2773                         2                      0.01%
                  28                        10                      0.03%
                 280                         2                      0.01%
                2801                         2                      0.01%
                2803                         2                      0.01%
                2805                         1                      0.00%
                2872                         3                      0.01%
                2888                         2                      0.01%
                  29                         4                      0.01%
                2900                         5                      0.02%
                2904                         2                      0.01%
                2905                         1                      0.00%
                   3                       448                      1.52%
                  30                        13                      0.04%
                 300                         9                      0.03%
                3004                         3                      0.01%
                3005                         2                      0.01%
                 301                       103                      0.35%
                 302                        78                      0.26%
                 303                        39                      0.13%
                 304                        47                      0.16%
                 305                        46                      0.16%
                 306                        37                      0.13%
                 307                        32                      0.11%
                 308                        37                      0.13%
                 309                        19                      0.06%
                  31                        18                      0.06%
                 310                        13                      0.04%
                3101                         4                      0.01%
                3103                         4                      0.01%
                3105                         1                      0.00%
                 311                        19                      0.06%
                 312                        13                      0.04%
                 313                         3                      0.01%
                 314                         6                      0.02%
                 315                         3                      0.01%
                 316                         5                      0.02%
                 317                         2                      0.01%
                 318                         4                      0.01%
                 319                         4                      0.01%
                  32                        19                      0.06%
                 320                         5                      0.02%
                3201                         1                      0.00%
                3202                         4                      0.01%
                 321                         2                      0.01%
                 322                         5                      0.02%
                 323                         8                      0.03%
                 324                         1                      0.00%
                 325                         2                      0.01%
                3254                         1                      0.00%
                3256                         1                      0.00%
                 326                         2                      0.01%
                 327                         1                      0.00%
                 328                         1                      0.00%
                 329                         8                      0.03%
                  33                        12                      0.04%
                 330                         1                      0.00%
                3312                         1                      0.00%
                 332                         3                      0.01%
                 333                         2                      0.01%
                 335                         1                      0.00%
                 336                         3                      0.01%
                 337                         2                      0.01%
                 339                         1                      0.00%
                  34                        20                      0.07%
                3401                         1                      0.00%
                3412                         1                      0.00%
                 344                         1                      0.00%
                3446                         1                      0.00%
                 345                         2                      0.01%
                 346                         1                      0.00%
                  35                         3                      0.01%
                 351                         3                      0.01%
                3510                         2                      0.01%
                 354                         2                      0.01%
                 356                         4                      0.01%
                 358                         1                      0.00%
                  36                        11                      0.04%
                 360                         2                      0.01%
                 364                         2                      0.01%
                 368                         1                      0.00%
                  37                        13                      0.04%
                3704                         1                      0.00%
                3705                         4                      0.01%
                  38                        10                      0.03%
                3801                         2                      0.01%
                 383                         1                      0.00%
                3861                         2                      0.01%
                  39                         2                      0.01%
                3903                         2                      0.01%
                   4                       288                      0.98%
                  40                         3                      0.01%
                 400                         2                      0.01%
                4001                         1                      0.00%
                4004                         1                      0.00%
                4006                         2                      0.01%
                 401                        86                      0.29%
                 402                        47                      0.16%
                 403                        33                      0.11%
                 404                        38                      0.13%
                 405                        23                      0.08%
                 406                        32                      0.11%
                 407                        27                      0.09%
                 408                        12                      0.04%
                 409                        10                      0.03%
                  41                        12                      0.04%
                 410                         7                      0.02%
                4109                         1                      0.00%
                 411                        16                      0.05%
                4110                         1                      0.00%
                4113                         1                      0.00%
                 412                        14                      0.05%
                 413                         1                      0.00%
                 414                        10                      0.03%
                 415                         8                      0.03%
                 416                         1                      0.00%
                 417                         1                      0.00%
                 418                         4                      0.01%
                 419                         5                      0.02%
                  42                         5                      0.02%
                 420                         1                      0.00%
                4209                         1                      0.00%
                4210                         1                      0.00%
                 422                         3                      0.01%
                 423                         3                      0.01%
                 424                         1                      0.00%
                 426                         3                      0.01%
                 427                         1                      0.00%
                 428                         1                      0.00%
                  43                         5                      0.02%
                 430                         2                      0.01%
                4309                         1                      0.00%
                 431                         1                      0.00%
                4310                         1                      0.00%
                 432                         1                      0.00%
                 434                         3                      0.01%
                 436                         4                      0.01%
                 438                         1                      0.00%
                  44                        15                      0.05%
                4409                         1                      0.00%
                 441                         1                      0.00%
                4410                         1                      0.00%
                 446                         2                      0.01%
                 448                         1                      0.00%
                  45                         7                      0.02%
                 450                         2                      0.01%
                 451                         1                      0.00%
                 452                         4                      0.01%
                 454                         2                      0.01%
                 457                         4                      0.01%
                  46                         5                      0.02%
                 460                         1                      0.00%
                 462                         1                      0.00%
                 466                         2                      0.01%
                 469                         1                      0.00%
                  47                         9                      0.03%
                4706                         1                      0.00%
                 472                         1                      0.00%
                 473                         1                      0.00%
                  48                         7                      0.02%
                  49                        11                      0.04%
                4901                         1                      0.00%
                   5                       211                      0.72%
                  50                         4                      0.01%
                 500                         7                      0.02%
                5005                         1                      0.00%
                 501                        41                      0.14%
                 502                        20                      0.07%
                 503                        24                      0.08%
                 504                        28                      0.09%
                 505                        11                      0.04%
                 506                        14                      0.05%
                 507                         5                      0.02%
                 508                        11                      0.04%
                 509                         7                      0.02%
                  51                         2                      0.01%
                 510                         9                      0.03%
                5103                         1                      0.00%
                5106                         1                      0.00%
                 511                         2                      0.01%
                5112                         1                      0.00%
                5113                         1                      0.00%
                 512                         4                      0.01%
